#{"t_start": 1750225949.8341491, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,160.974849
-200.0,200,161.075826
-200.0,200,161.183873
-200.0,200,161.290756
-200.0,200,161.397409
-200.0,200,161.575909
-200.0,200,161.764426
-200.0,200,161.944851
-200.0,200,162.135292
-200.0,200,162.382501
-200.0,200,162.603835
-200.0,200,162.787413
-200.0,200,162.974959
-200.0,200,163.165562
-200.0,200,163.369825
-200.0,200,163.56019
-200.0,200,163.730268
-200.0,200,163.907612
-200.0,200,164.100641
-200.0,200,164.29005
-200.0,200,164.482589
-200.0,200,164.667053
-200.0,200,164.869832
-200.0,200,165.054256
-200.0,200,165.246715
-200.0,200,165.433068
-200.0,200,165.624879
-200.0,200,165.810354
-200.0,200,165.99559
-200.0,200,166.166565
-200.0,200,166.363006
-200.0,200,166.548341
-200.0,200,166.740382
-200.0,200,166.941699
-200.0,200,167.153348
-200.0,200,167.351949
-200.0,200,167.550763
-200.0,200,167.739087
-200.0,200,167.935646
-200.0,200,168.121429
-200.0,200,168.334493
-200.0,200,168.561012
-171.0,171,168.718788
-200.0,200,168.917321
-200.0,200,169.152836
-200.0,200,169.39709
-200.0,200,169.58636
-200.0,200,169.77598
-200.0,200,169.957339
-200.0,200,170.144646
-200.0,200,170.344872
-132.0,132,170.460948
-200.0,200,170.664763
-200.0,200,170.841116
-200.0,200,171.040329
-200.0,200,171.231503
-200.0,200,171.423393
-186.0,186,171.595205
-200.0,200,171.804205
-200.0,200,172.00809
-200.0,200,172.203413
-200.0,200,172.40619
-200.0,200,172.588474
-200.0,200,172.795171
-200.0,200,172.979822
-200.0,200,173.186161
-200.0,200,173.375292
-200.0,200,173.561141
-200.0,200,173.759027
-200.0,200,173.953147
-200.0,200,174.139593
-192.0,192,174.321708
-200.0,200,174.512913
-200.0,200,174.682977
-200.0,200,174.861115
-200.0,200,175.03514
-200.0,200,175.22192
-200.0,200,175.411423
-200.0,200,175.642787
-200.0,200,175.843841
-200.0,200,176.068454
-200.0,200,176.290081
-200.0,200,176.488794
-200.0,200,176.705937
-156.0,156,176.856426
-200.0,200,177.050018
-200.0,200,177.252928
-200.0,200,177.431356
-182.0,182,177.588921
-200.0,200,177.782484
-200.0,200,177.974546
-200.0,200,178.154045
-200.0,200,178.348015
-200.0,200,178.534698
-200.0,200,178.745439
-200.0,200,178.933276
-200.0,200,179.122618
-200.0,200,179.320476
-200.0,200,179.513962
-200.0,200,179.709729
-200.0,200,179.906095
-144.0,144,180.040851
-200.0,200,180.229086
-200.0,200,180.406536
-176.0,176,180.559855
-200.0,200,180.755341
-200.0,200,180.937891
-200.0,200,181.129998
-176.0,176,181.305348
-143.0,143,181.427049
-164.0,164,181.570048
-200.0,200,181.775024
-200.0,200,181.961535
-200.0,200,182.155246
-200.0,200,182.344911
-200.0,200,182.538269
-200.0,200,182.730725
-200.0,200,182.926237
-149.0,149,183.054062
-200.0,200,183.241802
-200.0,200,183.430378
-200.0,200,183.608864
-200.0,200,183.795947
-200.0,200,183.995365
-200.0,200,184.183091
-200.0,200,184.3703
-200.0,200,184.55582
-200.0,200,184.774809
-150.0,150,184.931151
-153.0,153,185.113645
-155.0,155,185.275453
-200.0,200,185.4805
-200.0,200,185.698406
-161.0,161,185.901271
-200.0,200,186.114798
-200.0,200,186.28739
-200.0,200,186.469754
-200.0,200,186.639761
-200.0,200,186.818099
-173.0,173,186.963102
-200.0,200,187.14041
-200.0,200,187.345119
-200.0,200,187.528131
-136.0,136,187.63689
-178.0,178,187.795919
-200.0,200,187.985831
-200.0,200,188.180332
-200.0,200,188.368792
-200.0,200,188.562501
-174.0,174,188.73345
-200.0,200,188.920588
-200.0,200,189.117033
-200.0,200,189.305454
-147.0,147,189.444756
-169.0,169,189.606755
-200.0,200,189.797106
-159.0,159,189.943187
-185.0,185,190.121178
-200.0,200,190.315983
-157.0,157,190.459408
-200.0,200,190.66291
-176.0,176,190.841328
-200.0,200,191.055826
-200.0,200,191.259284
-200.0,200,191.444588
-200.0,200,191.651807
-200.0,200,191.842403
-155.0,155,191.979695
-200.0,200,192.164505
-200.0,200,192.351035
-200.0,200,192.546501
-171.0,171,192.705861
-139.0,139,192.828769
-200.0,200,193.012978
-200.0,200,193.205666
-200.0,200,193.39257
-200.0,200,193.58829
-200.0,200,193.762197
-200.0,200,193.936724
-151.0,151,194.051695
-200.0,200,194.242947
-185.0,185,194.415163
-200.0,200,194.592803
-200.0,200,194.782159
-200.0,200,194.983664
-200.0,200,195.177141
-200.0,200,195.372522
-200.0,200,195.559313
-148.0,148,195.695995
-135.0,135,195.807064
-200.0,200,196.04029
-186.0,186,196.234389
-200.0,200,196.460714
-123.0,123,196.57763
-178.0,178,196.725598
-200.0,200,196.915008
-200.0,200,197.097318
-121.0,121,197.189927
-167.0,167,197.325917
-200.0,200,197.510365
-200.0,200,197.72366
-113.0,113,197.814301
-200.0,200,197.99709
-152.0,152,198.1314
-122.0,122,198.237212
-200.0,200,198.432858
-151.0,151,198.55704
-138.0,138,198.693274
-200.0,200,198.899667
-200.0,200,199.075744
-153.0,153,199.195439
-135.0,135,199.306316
-127.0,127,199.40311
-200.0,200,199.582689
-149.0,149,199.730598
-127.0,127,199.83835
-200.0,200,200.035379
-148.0,148,200.16436
-141.0,141,200.29254
-171.0,171,200.451864
-200.0,200,200.642709
-200.0,200,200.840276
-134.0,134,200.949118
-200.0,200,201.125725
-182.0,182,201.289854
-116.0,116,201.381456
-200.0,200,201.585311
-200.0,200,201.781798
-184.0,184,201.955814
-184.0,184,202.12131
-200.0,200,202.315633
-190.0,190,202.485694
-200.0,200,202.707972
-189.0,189,202.91582
-200.0,200,203.156834
-137.0,137,203.274051
-160.0,160,203.401311
-142.0,142,203.513309
-200.0,200,203.711257
-181.0,181,203.908464
-133.0,133,204.009199
-121.0,121,204.102163
-140.0,140,204.222078
-200.0,200,204.41987
-199.0,199,204.609654
-143.0,143,204.735746
-144.0,144,204.863821
-151.0,151,204.978611
-154.0,154,205.10998
-132.0,132,205.209561
-200.0,200,205.389215
-200.0,200,205.562744
-145.0,145,205.690668
-200.0,200,205.903292
-133.0,133,206.015192
-178.0,178,206.180868
-128.0,128,206.291179
-200.0,200,206.478725
-130.0,130,206.584775
-116.0,116,206.677202
-200.0,200,206.868695
-188.0,188,207.04109
-200.0,200,207.244604
-200.0,200,207.431139
-161.0,161,207.580317
-135.0,135,207.691895
-153.0,153,207.831101
-164.0,164,207.989136
-143.0,143,208.111992
-160.0,160,208.249111
-149.0,149,208.3681
-187.0,187,208.539985
-114.0,114,208.629631
-153.0,153,208.750458
-113.0,113,208.84343
-144.0,144,208.957304
-146.0,146,209.078097
-127.0,127,209.182442
-200.0,200,209.35782
-187.0,187,209.525319
-134.0,134,209.632271
-200.0,200,209.817081
-200.0,200,210.00375
-169.0,169,210.157636
-141.0,141,210.277562
-135.0,135,210.389251
-158.0,158,210.54164
-200.0,200,210.726973
-200.0,200,210.907703
-123.0,123,211.013674
-200.0,200,211.195078
-175.0,175,211.352566
-133.0,133,211.464739
-129.0,129,211.573426
-200.0,200,211.780718
-119.0,119,211.890582
-149.0,149,212.060562
-179.0,179,212.247128
-146.0,146,212.398892
-152.0,152,212.54907
-173.0,173,212.705616
-137.0,137,212.834345
-200.0,200,213.04227
-136.0,136,213.152862
-157.0,157,213.29234
-90.0,90,213.352589
-174.0,174,213.505018
-121.0,121,213.61293
-174.0,174,213.766163
-128.0,128,213.873831
-200.0,200,214.081605
-174.0,174,214.245541
-158.0,158,214.385485
-133.0,133,214.493408
-156.0,156,214.630414
-143.0,143,214.7456
-134.0,134,214.849449
-133.0,133,214.948389
-200.0,200,215.131171
-172.0,172,215.300645
-165.0,165,215.443882
-144.0,144,215.567914
-200.0,200,215.75282
-173.0,173,215.911213
-163.0,163,216.052734
-189.0,189,216.236381
-170.0,170,216.38954
-164.0,164,216.537909
-170.0,170,216.692187
-163.0,163,216.838498
-200.0,200,217.024859
-169.0,169,217.190033
-200.0,200,217.384668
-85.0,85,217.447312
-200.0,200,217.630604
-136.0,136,217.749727
-200.0,200,217.934826
-134.0,134,218.051949
-198.0,198,218.239326
-200.0,200,218.415258
-187.0,187,218.581432
-194.0,194,218.758746
-197.0,197,218.953314
-200.0,200,219.119603
-154.0,154,219.243871
-200.0,200,219.443509
-127.0,127,219.544101
-200.0,200,219.731014
-139.0,139,219.8468
-133.0,133,219.957754
-200.0,200,220.140394
-170.0,170,220.29381
-200.0,200,220.482579
-114.0,114,220.581261
-200.0,200,220.780296
-200.0,200,220.956919
-200.0,200,221.137933
-200.0,200,221.345536
-200.0,200,221.546484
-200.0,200,221.743926
-200.0,200,221.932326
-143.0,143,222.05711
-147.0,147,222.193792
-200.0,200,222.404665
-200.0,200,222.5957
-157.0,157,222.732072
-129.0,129,222.840041
-200.0,200,223.056621
-183.0,183,223.275299
-140.0,140,223.429169
-142.0,142,223.566599
-185.0,185,223.723782
-157.0,157,223.876388
-200.0,200,224.064844
-157.0,157,224.204612
-200.0,200,224.42547
-168.0,168,224.575007
-200.0,200,224.770437
-200.0,200,224.958659
-149.0,149,225.092868
-180.0,180,225.262059
-146.0,146,225.387954
-142.0,142,225.517967
-200.0,200,225.7045
-168.0,168,225.86207
-148.0,148,225.985742
-148.0,148,226.110699
-200.0,200,226.290278
-158.0,158,226.436625
-200.0,200,226.618024
-200.0,200,226.827657
-200.0,200,227.015066
-135.0,135,227.139409
-200.0,200,227.350094
-150.0,150,227.494873
-152.0,152,227.627534
-136.0,136,227.751651
-146.0,146,227.869456
-173.0,173,228.017671
-140.0,140,228.137782
-151.0,151,228.269737
-147.0,147,228.394833
-195.0,195,228.599786
-115.0,115,228.687717
-179.0,179,228.841981
-155.0,155,228.984447
-192.0,192,229.166508
-138.0,138,229.284461
-129.0,129,229.392318
-140.0,140,229.518996
-200.0,200,229.754727
-200.0,200,229.981033
-136.0,136,230.117618
-200.0,200,230.32908
-121.0,121,230.427325
-165.0,165,230.581432
-156.0,156,230.75203
-165.0,165,230.898543
-139.0,139,231.017503
-200.0,200,231.205858
-200.0,200,231.375113
-118.0,118,231.47804
-162.0,162,231.618064
-162.0,162,231.759333
-140.0,140,231.878099
-140.0,140,231.98288
-135.0,135,232.093758
-200.0,200,232.266945
-119.0,119,232.360686
-143.0,143,232.481801
-174.0,174,232.648301
-190.0,190,232.832135
-121.0,121,232.932832
-200.0,200,233.118675
-154.0,154,233.251047
-155.0,155,233.379229
-200.0,200,233.567992
-197.0,197,233.772715
-114.0,114,233.863604
-154.0,154,233.998128
-98.0,98,234.075446
-150.0,150,234.200156
-142.0,142,234.311956
-149.0,149,234.426882
-150.0,150,234.54362
-143.0,143,234.671767
-141.0,141,234.800995
-178.0,178,234.962511
-165.0,165,235.115484
-154.0,154,235.246229
-200.0,200,235.43873
-141.0,141,235.576703
-133.0,133,235.696984
-165.0,165,235.849932
-161.0,161,235.992406
-159.0,159,236.131832
-154.0,154,236.267755
-167.0,167,236.41471
-200.0,200,236.617144
-189.0,189,236.795401
-174.0,174,236.948644
-200.0,200,237.128793
-96.0,96,237.198328
-200.0,200,237.369349
-96.0,96,237.439845
-200.0,200,237.642352
-200.0,200,237.836861
-138.0,138,237.958635
-193.0,193,238.126704
-151.0,151,238.244922
-200.0,200,238.4292
-130.0,130,238.533178
-164.0,164,238.680265
-157.0,157,238.856146
-152.0,152,238.994987
-154.0,154,239.168178
-200.0,200,239.424568
-162.0,162,239.557539
-200.0,200,239.751395
-123.0,123,239.860125
-150.0,150,240.008816
-167.0,167,240.164252
-116.0,116,240.259384
-162.0,162,240.403418
-146.0,146,240.532787
-150.0,150,240.667964
-165.0,165,240.841959
-135.0,135,240.968813
-175.0,175,241.112854
-153.0,153,241.250875
-200.0,200,241.440415
-167.0,167,241.590106
-200.0,200,241.779762
-158.0,158,241.919256
-167.0,167,242.070271
-106.0,106,242.149451
-158.0,158,242.286562
-157.0,157,242.423465
-150.0,150,242.551646
-114.0,114,242.654698
-170.0,170,242.798255
-200.0,200,243.007856
-112.0,112,243.097081
-146.0,146,243.221373
-189.0,189,243.39776
-170.0,170,243.548933
-169.0,169,243.705222
-162.0,162,243.84848
-160.0,160,244.003573
-163.0,163,244.149181
-165.0,165,244.296459
